Num Applicant,Applicant Information,Property,Lender,Approval Status
12,"[-87.30653376  93.04927781   7.7378181   49.49238959  20.1550266
 -84.80371111  33.88288571  13.35729672  44.39828135  20.97721165]",[ -2.73644172 -90.70891295  76.8074405  -45.28985234  70.32893923],1,0
13,"[ -86.7286569    95.55201998   -6.16355546   54.89835967   11.09895945
 -100.32024858   42.97362073    5.86618074   44.3847521    22.59058857]",[ 43.27850393   0.42712918 -10.33030868  83.90598214 -81.11655155],0,1
14,"[-88.79578222  90.7372323    5.73406058  47.69581758  22.50955939
 -86.84677047  39.08795659  14.89999893  46.21286151  29.01089677]",[ 43.27850393   0.42712918 -10.33030868  83.90598214 -81.11655155],0,0
15,"[-90.38674141  93.69616537  13.94865755  43.84658828  39.30008909
 -86.24924974  42.47089312  23.83000937  45.83696989  22.69710891]",[-82.31180309  61.05239335  37.53110912  -8.66683707  29.53826156],1,1
16,"[-88.10628821  87.05642357  -3.86718063  45.69698305  46.17903502
 -87.94656655  33.94499101  -2.68682894  46.08917607  18.40598992]",[ -5.98360317 -86.63592338  72.33896388 -41.75552889  68.80449692],3,0
17,"[-88.41547238  94.23789608  -8.32127061  49.55287162  19.67918747
 -97.10997804  36.3866597   -3.17277352  44.19609851  29.24949105]",[ -7.88755013 -94.75337672  78.46406307 -44.3544259   70.96293487],2,0
18,"[ -85.2536051    98.86238677    2.11787283   44.94571541   18.68544616
 -110.62729744   43.4365067     5.11111829   44.87698687   22.55881872]",[ -2.73644172 -90.70891295  76.8074405  -45.28985234  70.32893923],0,0
19,"[-86.0815856   92.05953557   9.07840173  46.10368318  16.66049359
 -80.76542423  39.38193365   3.03109221  46.14112145  22.2380458 ]",[-82.31180309  61.05239335  37.53110912  -8.66683707  29.53826156],2,1
20,"[  7.0334595  -81.67534815  74.31458878  12.60273655 -49.82514808
 -17.43450082 -30.18014896  92.77006482 -40.68076505  21.84759202]",[ 46.49015676   1.5711112  -12.51447789  80.07549042 -55.74615667],2,1
21,"[  6.56266501 -76.8178418   81.53345621  11.38144654 -51.79515815
 -14.4689821  -25.06868335  91.83025147 -54.667824    23.51780056]",[-82.62565065  59.49611507  34.78643279 -19.34532425  51.32953379],1,0
22,"[  6.61047454 -85.62525366  83.0846578    8.59177792 -58.67603027
 -11.82649873 -23.02260526  94.71269459 -26.36897622  22.06653595]",[ -7.88755013 -94.75337672  78.46406307 -44.3544259   70.96293487],0,1
23,"[  6.91061499 -87.26366769  73.41650148  10.87540853 -38.72693052
 -12.76693839 -26.11702599  92.85254561 -36.63951388  21.5649621 ]",[-82.31180309  61.05239335  37.53110912  -8.66683707  29.53826156],3,0
24,"[  9.39094289 -80.96954108  69.2186599    8.15611573 -55.48201995
  -8.857833   -27.64895063  93.15596961 -47.09377748  23.99517703]",[ 43.86098328   9.47019505 -15.61563431  77.59553658 -46.72789035],3,1
25,"[  7.505399   -88.39074171  77.74881537   8.82520632 -58.84548235
  -3.08356355 -22.8405032   90.45742453 -40.10740669  21.06932894]",[ -3.40769851 -87.75833416  70.16514104 -42.96595953  71.48126026],1,1
26,"[ -2.38494193  32.0815322  -23.07480458 -64.82487431 -18.59722118
  45.26437709 -31.38546393  67.40151689  34.11994659 -13.55189768]",[-82.91118491  43.77373326  33.79115923  -1.63512475  47.36946896],1,0
27,"[ -2.59684227  26.5141945  -31.5327992  -73.28595206 -29.85639248
  45.61338123 -27.84300963  67.09593331  27.72693083  -2.11457954]",[ 49.42913207   4.83971869 -21.69092794  91.24080263 -73.23455111],1,0
28,"[ -2.73054705  30.04951001 -38.1108162  -74.40999088 -24.89377817
  40.60278352 -25.74377513  71.56194733  20.43495879  -8.12871176]",[ 49.42913207   4.83971869 -21.69092794  91.24080263 -73.23455111],1,0
29,"[ -2.49560289  33.62649269 -32.72719952 -73.19677065 -29.16332939
  39.48873183 -27.99536804  71.61151086  23.37697504  -6.56881289]",[ -2.73644172 -90.70891295  76.8074405  -45.28985234  70.32893923],1,1
30,"[ -2.47222734  29.84003566 -41.24578961 -72.88294408 -24.23584509
  44.31161905 -30.22029997  61.24073721  27.4610558  -10.62154662]",[-81.1425107   68.65653974  37.69944301   1.21614337  21.05132904],3,1
